Timestamp,dMoisture,Cause_Temperature
2023-08-05 14:38:03,-0.002577319587628857,34.8
2023-08-05 14:38:13,-0.0012886597938144284,34.7
2023-08-05 14:38:22,-0.002577319587628857,34.8
2023-08-05 14:38:32,-0.002577319587628857,34.7
2023-08-05 14:38:41,-0.0012886597938144284,34.7
2023-08-05 14:38:50,-0.0038659793814432852,34.8
2023-08-05 14:38:59,-0.0038659793814432852,34.7
2023-08-05 14:39:09,-0.002577319587628857,34.6
2023-08-05 14:39:20,-0.0038659793814432852,34.6
2023-08-05 14:39:29,-0.002577319587628857,34.6
2023-08-05 14:39:38,-0.002577319587628857,34.6
2023-08-05 14:39:48,-0.0038659793814432852,34.6
2023-08-05 14:40:04,-0.002577319587628857,34.6
2023-08-05 14:40:28,-0.0038659793814432852,34.6
2023-08-05 14:40:37,-0.002577319587628857,34.6
2023-08-05 14:40:45,-0.002577319587628857,34.6
2023-08-05 14:40:54,-0.0038659793814432852,34.7
2023-08-05 14:41:04,-0.002577319587628857,34.7
2023-08-05 14:41:23,-0.002577319587628857,34.6
2023-08-05 14:41:33,-0.002577319587628857,34.7
2023-08-05 14:41:45,-0.002577319587628857,34.7
2023-08-05 14:41:54,-0.0012886597938144284,34.7
2023-08-05 14:42:04,-0.002577319587628857,34.6
2023-08-05 14:42:13,-0.0012886597938144284,34.8
2023-08-05 14:42:21,-0.0038659793814432852,34.8
2023-08-05 14:42:30,-0.002577319587628857,34.8
2023-08-05 14:42:39,-0.002577319587628857,34.7
2023-08-05 14:46:12,-0.002577319587628857,34.8
2023-08-05 14:46:21,-0.002577319587628857,34.8
2023-08-05 14:46:31,-0.002577319587628857,34.8
2023-08-05 14:46:39,-0.005154639175257714,34.7
2023-08-05 14:46:48,-0.005154639175257714,34.8
2023-08-05 14:46:57,-0.0038659793814432852,34.8
2023-08-05 14:47:06,-0.0038659793814432852,34.8
2023-08-05 14:47:19,-0.005154639175257714,34.7
2023-08-05 14:47:30,-0.006443298969072142,34.7
2023-08-05 14:47:39,-0.005154639175257714,34.7
2023-08-05 14:47:53,-0.005154639175257714,34.7
2023-08-05 14:48:02,-0.005154639175257714,34.8
2023-08-05 14:48:25,-0.005154639175257714,34.8
2023-08-05 14:48:35,-0.0038659793814432852,34.8
2023-08-05 14:48:44,-0.005154639175257714,34.8
2023-08-05 14:48:53,-0.006443298969072142,34.8
2023-08-05 14:49:02,-0.0038659793814432852,34.9
2023-08-05 14:49:18,-0.005154639175257714,35.0
2023-08-05 14:49:28,-0.0038659793814432852,35.0
2023-08-05 14:49:37,-0.006443298969072142,35.0
2023-08-05 14:49:45,-0.005154639175257714,35.0
2023-08-05 14:49:54,-0.005154639175257714,35.0
2023-08-05 14:50:02,-0.006443298969072142,35.0
2023-08-05 14:50:11,-0.006443298969072142,35.0
2023-08-05 14:50:21,-0.005154639175257714,35.0
2023-08-05 14:50:30,-0.005154639175257714,35.0
2023-08-05 14:50:39,-0.006443298969072142,35.0
2023-08-05 14:50:48,-0.005154639175257714,35.0
2023-08-05 14:50:57,-0.006443298969072142,35.1
2023-08-05 14:51:06,-0.005154639175257714,35.1
2023-08-05 14:51:15,-0.006443298969072142,35.1
2023-08-05 14:51:41,-0.006443298969072142,35.1
2023-08-05 14:51:50,-0.006443298969072142,35.2
2023-08-05 14:52:00,-0.006443298969072142,35.2
2023-08-05 14:52:12,-0.006443298969072142,35.2
2023-08-05 14:52:21,-0.005154639175257714,35.2
2023-08-05 14:52:30,-0.006443298969072142,35.2
2023-08-05 14:53:53,-0.006443298969072142,35.0
2023-08-05 14:54:40,-0.006443298969072142,35.0
2023-08-05 14:54:58,-0.006443298969072142,35.1
2023-08-05 14:56:53,-0.006443298969072142,34.8
2023-08-05 14:57:19,-0.006443298969072142,34.8
2023-08-05 14:57:30,-0.006443298969072142,34.8
2023-08-05 14:57:38,-0.006443298969072142,34.8
2023-08-05 14:58:09,-0.006443298969072142,34.7
2023-08-05 14:58:17,-0.005154639175257714,34.6
2023-08-05 14:58:26,-0.006443298969072142,34.6
2023-08-05 14:58:35,-0.006443298969072142,34.6
2023-08-05 14:58:45,-0.0038659793814432852,34.7
2023-08-05 14:58:54,-0.005154639175257714,34.7
2023-08-05 14:59:03,-0.006443298969072142,34.7
2023-08-05 14:59:13,-0.006443298969072142,34.6
2023-08-05 14:59:23,-0.005154639175257714,34.6
2023-08-05 14:59:34,-0.005154639175257714,34.7
2023-08-05 14:59:51,-0.006443298969072142,34.8
2023-08-05 15:00:00,-0.005154639175257714,34.7
2023-08-05 15:00:28,-0.005154639175257714,34.6
2023-08-05 15:00:37,-0.006443298969072142,34.6
2023-08-05 15:00:47,-0.005154639175257714,34.6
2023-08-05 15:00:56,-0.006443298969072142,34.6
2023-08-05 15:01:05,-0.005154639175257714,34.6
2023-08-05 15:01:14,-0.006443298969072142,34.6
2023-08-05 15:01:32,-0.006443298969072142,34.6
2023-08-05 15:01:41,-0.006443298969072142,34.6
2023-08-05 15:01:50,-0.006443298969072142,34.6
2023-08-05 15:02:09,-0.006443298969072142,34.6
2023-08-05 15:02:18,-0.006443298969072142,34.6
2023-08-05 15:02:27,-0.006443298969072142,34.6
2023-08-05 15:02:35,-0.006443298969072142,34.6
2023-08-05 15:02:44,-0.006443298969072142,34.6
2023-08-05 15:02:54,-0.005154639175257714,34.6
2023-08-05 15:03:03,-0.006443298969072142,34.7
2023-08-05 15:03:11,-0.005154639175257714,34.8
2023-08-05 15:03:19,-0.006443298969072142,34.8
2023-08-05 15:03:28,-0.006443298969072142,34.7
2023-08-05 15:03:36,-0.006443298969072142,34.7
2023-08-05 15:03:45,-0.005154639175257714,34.7
2023-08-05 15:03:54,-0.006443298969072142,34.8
2023-08-05 15:04:04,-0.005154639175257714,34.8
2023-08-05 15:04:13,-0.006443298969072142,34.7
2023-08-05 15:04:22,-0.0038659793814432852,34.8
2023-08-05 15:04:29,-0.005154639175257714,34.8
2023-08-05 15:04:38,-0.006443298969072142,34.7
2023-08-05 15:04:46,-0.005154639175257714,34.7
2023-08-05 15:04:54,-0.0038659793814432852,34.8
2023-08-05 15:05:02,-0.005154639175257714,34.8
2023-08-05 15:05:10,-0.0038659793814432852,34.7
2023-08-05 15:05:21,-0.0038659793814432852,34.8
2023-08-05 15:06:25,-0.0012886597938144284,34.8
2023-08-05 21:32:49,-0.005154639175257825,30.2
2023-08-05 21:33:17,-0.002577319587628968,30.2
2023-08-05 21:33:45,-0.0012886597938144284,30.2
2023-08-05 21:34:14,-0.002577319587628968,30.2
2023-08-05 21:34:42,-0.002577319587628968,30.2
2023-08-05 21:35:09,-0.0012886597938145394,30.2
2023-08-05 21:35:37,0.0,30.2
2023-08-05 21:36:05,-0.0012886597938145394,30.2
2023-08-05 21:36:34,-0.0012886597938145394,30.2
2023-08-05 21:37:01,-0.0012886597938144284,30.2
2023-08-05 21:37:29,-0.0038659793814433963,30.2
2023-08-05 21:37:58,-0.0012886597938145394,30.2
2023-08-05 21:38:54,-0.0012886597938145394,30.2
2023-08-05 21:39:22,0.0,30.2
2023-08-05 21:39:51,-0.002577319587628968,30.2
2023-08-05 21:40:19,-0.0012886597938144284,30.2
2023-08-05 21:40:47,-0.002577319587628968,30.2
2023-08-05 21:41:15,0.0,30.2
2023-08-05 21:41:44,-0.0012886597938145394,30.2
2023-08-05 21:42:12,-0.002577319587628968,30.1
2023-08-05 21:42:40,-0.002577319587628968,30.2
2023-08-05 21:43:08,0.0,30.2
2023-08-05 21:43:36,0.0,30.0
2023-08-05 21:44:04,-0.0012886597938145394,30.1
2023-08-05 21:44:32,-0.0012886597938145394,30.2
2023-08-05 21:45:00,-0.0012886597938145394,30.2
2023-08-05 21:45:28,-0.0012886597938145394,30.2
2023-08-05 21:45:56,-0.0012886597938145394,30.2
2023-08-05 21:47:21,-0.0012886597938145394,30.2
2023-08-05 21:47:49,0.0,30.1
2023-08-05 21:48:16,0.0,30.1
2023-08-05 21:49:13,-0.0012886597938145394,30.1
2023-08-05 21:49:41,0.0,30.1
2023-08-05 21:50:09,0.0,30.0
2023-08-05 21:50:38,-0.0012886597938145394,30.1
2023-08-05 21:51:06,0.0,30.0
2023-08-05 21:51:34,0.0,30.0
2023-08-05 21:52:03,0.0,30.1
2023-08-05 21:52:59,-0.0012886597938145394,30.1
2023-08-05 21:53:55,0.0,30.1
2023-08-05 21:54:23,0.0,30.0
2023-08-05 21:54:51,-0.0012886597938145394,30.1
2023-08-05 21:55:20,-0.0012886597938145394,30.1
2023-08-05 21:55:49,-0.0012886597938145394,30.1
2023-08-05 21:56:16,-0.0012886597938145394,30.1
2023-08-05 21:56:45,-0.0012886597938145394,30.0
2023-08-05 21:57:13,0.0,30.0
2023-08-05 21:58:36,-0.0012886597938145394,30.1
2023-08-05 21:59:05,-0.0012886597938145394,30.1
2023-08-05 21:59:33,0.0,30.1
2023-08-05 22:00:01,-0.0012886597938145394,30.2
2023-08-05 22:00:29,-0.0012886597938145394,30.1
2023-08-05 22:00:57,0.0,30.2
2023-08-05 22:01:26,-0.0012886597938145394,30.2
2023-08-05 22:01:54,0.0,30.2
2023-08-05 22:02:22,-0.0012886597938144284,30.1
2023-08-05 22:03:18,-0.0012886597938145394,30.1
2023-08-05 22:03:46,-0.0012886597938145394,30.0
2023-08-05 22:04:15,-0.0038659793814433963,30.2
2023-08-05 22:04:43,0.0,30.1
2023-08-05 22:05:40,0.0,30.1
2023-08-05 22:06:08,0.0,30.1
2023-08-05 22:06:36,0.0,30.1
2023-08-05 22:07:05,-0.0012886597938145394,30.0
2023-08-05 22:07:33,0.0,30.1
2023-08-05 22:08:30,-0.0012886597938145394,30.0
2023-08-05 22:08:57,0.0,30.0
2023-08-05 22:09:26,-0.002577319587628968,30.1
2023-08-05 22:09:54,0.0,30.1
2023-08-05 22:10:22,0.0,30.1
2023-08-05 22:10:50,-0.0012886597938145394,30.1
2023-08-05 22:11:18,-0.0012886597938145394,30.1
2023-08-05 22:11:47,-0.0012886597938145394,30.0
2023-08-05 22:12:15,-0.0012886597938145394,30.1
2023-08-05 22:12:42,-0.0012886597938145394,30.2
2023-08-05 22:13:10,0.0,30.0
2023-08-05 22:13:39,0.0,30.0
2023-08-05 22:14:36,-0.0012886597938145394,30.1
2023-08-05 22:15:04,0.0,30.0
2023-08-05 22:15:32,-0.002577319587628968,30.2
2023-08-05 22:16:00,-0.0012886597938145394,30.0
2023-08-05 22:16:28,-0.0012886597938145394,30.1
2023-08-05 22:16:56,-0.0012886597938145394,30.1
2023-08-05 22:17:24,-0.0012886597938145394,30.2
2023-08-05 22:17:52,-0.0012886597938145394,30.1
2023-08-05 22:18:21,-0.0012886597938145394,30.2
2023-08-05 22:18:49,-0.0012886597938144284,30.2
2023-08-05 22:19:17,-0.002577319587628968,30.1
2023-08-05 22:19:44,-0.0012886597938145394,30.1
2023-08-05 22:20:12,-0.0012886597938145394,30.1
2023-08-05 22:20:40,0.0,30.2
2023-08-05 22:21:37,-0.0012886597938145394,30.0
2023-08-05 22:22:04,-0.0012886597938145394,30.0
